你好，我这里是小区业主，想咨询一下为什么我家最近的电费突然增加了很多？以前每个月大概在300元左右，这个月居然超过500元了。	电费,咨询
你好，我这边刚刚停电了，请问是怎么回事？	停电
我的电费账单上显示有滞纳金，我记得我是按时缴费的，能帮我查一下吗？	电费
为什么我收到的电费账单和我自己计算的用电量不一样？	电费
我想申请更换电表，之前的电表总是有问题。	表计
最近家里用电很不稳定，时常跳闸，能派人来检查一下吗？	故障
请问有没有办法查看每天的用电量？	电费
我打算安装太阳能板，请问这对我的电力账单有影响吗？	报装
我想要新增加一台变压器，需要走什么流程	报装
你好，我想了解一下电费是如何计算的？	电费
我家电表上的数字和账单不符，能帮我查一下吗？	计量
我家最近电器频繁跳闸，是不是线路出了问题？	故障
请问可以选择哪些支付方式来缴电费？	服务
我在用电高峰期总是停电，这个有什么解决办法吗？	故障
我家电表有问题，能不能派人来修理？	表计
我想咨询一下电表的更换费用是多少？	表计
最近电费涨了很多，我觉得不合理，能帮我看看吗？	电费
你们的电费账单发送方式是怎样的？	服务
我想设置一个自动支付功能，该如何操作？	服务
请问我的电力账户可以转让给别人吗？	服务
我家附近正在施工，停电通知没收到，你们怎么回事？	停电
我想咨询一下关于电力节约的小窍门。	服务
我想知道电力公司有没有提供家庭节能评估服务？	服务
我家电表需要更换，但我找不到相关信息，能帮我吗？	计量
我在小区里遇到停电，能告知我恢复供电的时间吗？	停电
我想申请安装电动车充电桩，应该怎么做？	报装
我在国外，如何处理电费账单？	服务
请问你们支持哪些电费优惠政策？	电费
我家电表老是跳闸，是不是容量不够了？	故障
请问我可以申请临时用电吗？	报装
最近天气变冷，想知道如何有效取暖又节电？	服务
我家电表的显示屏坏了，怎么办？	表计
我想了解一下电力公司的服务范围。	服务
我可以提前预缴电费吗？	服务
我需要查找历史账单记录，在哪里可以查看	服务
我家附近有个电线杆倾斜了，安全吗？	隐患
我想申请电力补贴，具体条件是什么？	服务
你们的电力故障维修时间大约多久？	服务
我家电表的读数不准，能更换吗？	计量
我想了解一下电费的高峰期和低谷期。	电费
我最近在用电方面有些困惑，可以帮我解析一下吗？	服务
电费单上有很多额外费用，这些是什么？	电费
我想换成智能电表，怎么申请？	计量
请问电表的保修期是多久？	计量
我家有电器在用电量上升，能帮我分析一下原因吗？	服务
我打算在家安装太阳能系统，你们提供支持吗？	报装
我家电器总是感到电压不稳，这是什么原因？	故障
我想知道我现在的电力合同到期时间是什么时候？	服务
我如何能知道我家电表的容量？	计量
我的邻居总是随意接线，是否影响我的用电安全？	隐患
你们的电费可以分期付款吗？	电费
我想知道关于电费的涨价政策。	电费
我在外地，能否代替他人缴纳电费？	服务
我想知道电力公司的服务条款是什么？	咨询
