Text	Label	Prediction
我想知道你们的电力故障报修流程。	咨询	服务
我能否在网上查询电费的详细使用情况？	咨询	电费
我家有小孩，想咨询一下安全用电的注意事项。	咨询	服务
电力公司是否提供用电安全培训？	咨询	服务
我家的空调使用频繁，能否提供一些节能小技巧？	咨询	服务
电表上的小灯一直闪烁，这是正常现象吗？	表计	计量
我想更改我的电力合同，如何操作？	咨询	服务
电力服务出现问题，该如何投诉？	咨询	服务
我想了解关于电力公司的客户服务时间。	咨询	服务
我家的电器总是突然关掉，这是什么原因？	服务	故障
请问电表的工作原理是什么？	咨询	表计
我想了解电力公司的服务范围和区域。	咨询	服务
我希望了解你们的电费折扣活动。	咨询	电费
我在使用电器时总是感觉电压不稳，怎么办？	服务	故障
我想了解关于电力安全的常识，可以提供一些资料吗？	咨询	电费
我最近更换了电器，电费却没有减少，这是为什么？	服务	电费
我想知道电力公司是否提供电力监测服务？	咨询	服务
我家电表的连接线松了，怎么办？	计量	表计
我想了解电表的安装位置有什么要求？	咨询	表计
我想知道电力公司的服务条款是什么？	咨询	服务
我能否在线上申请暂停用电服务？	服务	报装
